trial,r1_mm,r2_mm,r3_mm,r4_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
0,2.5,2.5,2.5,2.5,0.634765625,3196.221777601145,115.50383917184271,504.07104441598096,527.8339051595119,428.5720812344405,449.77123155973834,-5.654732132504514,True,13,OK,431.2
1,2.865880839481802,1.2993577323809704,3.5898384168055575,1.4870967145481266,1.07421875,3220.656706014399,52.44755618516575,579.4750951224117,610.4016090474162,523.0529962146591,552.6819638794068,7.775106934815456,True,12,OK,280.2
2,3.9961042772651982,1.4563364763215052,1.741931594710461,1.968732839241455,0.87890625,3199.635322346057,55.48314784896823,496.899024789636,526.0203605734058,451.0577123721655,478.6138106612949,-1.7311200842132113,True,15,OK,393.4
3,2.3436177470443864,3.2581255697136156,1.7890046869708554,2.3856939991778567,0.78125,3229.8723076229203,80.25844546171237,561.3352818794689,589.0433305713536,481.72281030484845,507.2457289043108,1.8965880627069054,True,15,OK,271.1
4,1.2641477063629614,2.041952324720782,4.204679924187244,1.2462054466264432,1.123046875,3266.9750078753436,62.02718982808589,538.8498431352456,568.2309824585819,452.08788263827,479.34259058680817,4.281732018945183,True,12,OK,286.7
5,2.476077730521817,0.8073770199793963,1.8282454497987468,3.856773262108274,1.171875,3262.1686657253435,46.27545340418705,415.5599149694522,440.5414227777399,347.01415423743873,370.3045787322482,2.389400980529355,True,11,OK,246.5
6,0.8564025763404907,1.881358970374112,4.393699301418042,1.1926732580840569,1.07421875,3260.5608957787485,29.12416051909452,350.5216122965418,375.830664199626,316.1396468920079,340.3683598849336,2.3490319261646686,True,11,PRUNE_LIFETIME,265.9
7,3.167053545847632,1.995151996820619,1.6788323001055403,2.858437065152734,0.830078125,3237.886636007398,61.343679690790104,577.0699242382404,605.7968311063037,501.6339462142592,528.5393086465632,1.3415331411375742,True,12,OK,266.6
8,1.2822718042833827,3.0435105677886654,2.1843998243912366,3.053067285681416,0.78125,3206.2340417704017,68.56824891283675,420.2128435602518,444.2477103589468,365.42850964105224,388.0389446243314,0.8458992115131903,True,12,OK,202.9
9,4.357239158359167,1.4714887346991845,1.5826549267356773,1.159478849912397,0.87890625,3223.2411067286357,48.5949076115245,356.9777680547121,383.29712243016576,320.72108333505196,345.8972064294935,-3.1862669253990505,True,12,OK,390.7
10,3.2581045096763686,0.8614250523318412,3.1331732879425807,1.9559977073004646,1.220703125,3268.2021614971572,36.454779269571205,494.16020555932914,523.0679627051566,423.70188148071003,450.97787104534757,6.299048795930407,True,11,OK,248.0
11,3.169793953649224,2.577353204933191,0.9757045277112618,2.712500216227305,1.025390625,3245.8256309202625,63.979579900054645,450.6164848972093,476.73806437298305,378.1975798495829,402.54514855363124,2.4921358063776933,True,12,OK,243.3
12,3.2782173943662523,1.4421576363689548,1.1922732815308232,3.2790176103956763,1.025390625,3212.02903158842,62.989012038140096,505.9186458382269,534.2931403557653,439.94533058287107,466.732705720893,2.293583324704962,True,12,OK,233.3
13,1.9452344516933497,4.337702858631557,0.8055586623363653,1.3234319324014125,1.07421875,3256.7851844716633,16.030662706795262,328.748589973629,353.45032533770774,311.90824209569786,335.9717426379422,0.6326701794931666,True,17,PRUNE_LIFETIME,337.5
14,3.673460495814946,1.170100484330317,2.706511847465284,1.676707029205467,1.123046875,3259.0060995786,51.8110158305914,592.9036372330083,624.2489691646228,505.90320232001403,534.9713683194228,5.678600617093821,True,15,OK,352.0
15,3.851213736596514,1.1019234505350572,2.716340383853075,1.255154326471514,1.123046875,3264.3104800047545,21.76485491617176,486.88180927820304,516.4768165721548,450.8424190854672,479.4074474790615,5.6154003610953795,True,13,PRUNE_LIFETIME,399.9
16,3.699228530554118,1.230647951114614,2.802306321161235,1.3958127315408777,1.025390625,3203.348166397077,44.680426206512244,499.69611573165105,529.4741833326899,458.919711659019,487.4627671885457,5.546406858890851,True,13,OK,303.3
17,2.8941947913192347,1.743568129731751,3.3362438534683747,1.5662323062300907,0.87890625,3245.662240607607,41.8960132780074,548.9066501952739,578.3288938375756,496.6591721059315,524.8192791870287,5.564348013939946,True,12,OK,260.8
18,2.030889069397075,3.9960204254666642,1.3861502098869976,1.7279750989776836,0.87890625,3218.2816958933436,40.581419518615824,471.82507195880885,499.80504041694866,437.7666122833007,464.7255556143076,1.19234686490719,True,14,OK,314.9
19,4.446223634409944,1.0983589273608922,1.344668156748979,1.4888151690946598,1.025390625,3247.123183511755,21.700207856266868,406.2611946476206,434.02885201043995,379.1078498546719,405.9032218110571,-3.2705961224285707,True,14,PRUNE_LIFETIME,377.8
20,3.6231270514237695,1.705771518104187,2.175701638168751,2.05660309222165,0.830078125,3259.1818210711617,38.79114080504104,562.9820273519447,592.3091316903487,509.511663745474,537.2620799003765,-0.2756000956091409,True,14,OK,387.1
21,3.6486173485518387,1.6325234970102223,2.198969028286916,2.0462144775636206,0.830078125,3218.2418682777734,57.32578210653145,541.0340841785364,570.0267436632195,491.1296090366352,518.6674964290709,0.05073115018391361,True,14,OK,371.8
22,2.8702874865539223,2.1969871484826005,3.124959063237533,1.4728638996946923,0.78125,3262.6887994051044,46.112369489391796,487.0954545742855,514.1472837335427,429.7216330400247,455.399273583448,2.1620105694173275,True,12,OK,238.8
23,3.5245734292703106,1.2821584308243146,2.4007903638436954,2.273688089607524,0.9765625,3260.4883127405496,61.15256296565006,564.7965312458232,594.0516358069135,482.1374406342412,509.49257713389846,2.1888639364323614,True,12,OK,378.2
24,4.162816735410296,0.9955775768075943,1.95423330785458,1.6913764496461554,1.123046875,3239.0274426317474,48.191102711295564,486.16161036934335,515.4897149615459,432.3316723803336,459.9256660577829,0.598682784990634,True,17,OK,359.7
25,2.8234125364967047,1.6632562648220888,3.469205794295544,1.4921566282094987,0.87890625,3190.843448419591,69.48358418507118,514.9500432502538,543.9577585333406,465.6261032688373,493.3808423536705,5.916935306028348,True,12,OK,258.5
26,3.507552695552354,1.307363507187123,2.6101942428582756,2.0432231308763895,0.9765625,3221.42490576532,92.19988024749316,571.1431687674458,601.1047683745763,481.325883732876,508.993113359425,4.270071584035485,True,12,OK,280.6
27,4.124080711542257,1.5510653309515565,1.9567125747591514,1.3256811545709846,0.87890625,3256.930137129117,35.15134731257967,429.8844174847929,457.79191503958157,388.37763196176775,415.13032362463963,-0.656378754783904,True,12,OK,273.0
28,1.9975906339399114,2.33259398757839,3.6072827446505706,1.5987958432692193,0.830078125,3253.9956813299796,42.821352861884534,540.0481034368735,567.8544925656585,484.29776817489494,510.78549516232596,2.797121749093623,True,12,OK,268.9
29,2.5577486723823197,2.6235313645931346,2.4267548961690526,2.384505311766383,0.634765625,3192.899307145055,105.10200644602246,502.4899665923646,526.6427351495659,438.1044644207087,460.12901241514186,-4.72052137706529,True,13,OK,596.0
30,3.402299319006696,1.8842765220075708,2.2364834636136006,2.2072614365952528,0.78125,3262.813851295005,43.01710103546582,572.8282157084349,601.4374126118441,513.2967069187048,540.184232523633,-1.3053881661035938,True,13,OK,570.1
31,3.3580786788730355,1.818382646628872,2.199978316515689,2.361543466421506,0.78125,3222.9348290080165,71.40908685330828,564.8241336711264,593.2329891493827,494.8897800376179,521.1864738709994,-1.0235503549953728,True,14,OK,467.0
32,4.002693356397327,1.3458612020604594,2.0608031208217144,1.7088575179495107,0.927734375,3215.2021881774094,44.066829230327414,498.53818283658086,527.8715017507218,459.3965473222571,487.50059086000323,0.8443350679633976,True,14,OK,357.1
33,3.0039709434508515,2.15348369154864,2.340367465023409,2.4210218276167903,0.68359375,3192.9786948998362,100.83252197708273,533.4843619339609,559.8709588193736,466.26201601597774,490.481981574159,-3.311474431172323,True,13,OK,658.8
34,3.8179338059674937,1.1416278717113162,2.608641655286876,1.5215307982701525,1.123046875,3265.6129335958717,26.26728969270353,553.6291125315599,584.4136925431765,506.8914231618634,536.3662530430289,5.391219032581141,True,14,PRUNE_LIFETIME,408.6
35,3.4776631267386864,1.9417575258216795,2.2970407193943907,1.964444150715686,0.78125,3269.1549370913526,37.1047106616267,560.5151817621293,589.3530136090903,506.8673885397165,534.2193247291515,-0.3923031369347241,True,12,OK,388.3
36,2.328158826313406,2.788996937032484,2.8689193056330144,1.889569946429237,0.68359375,3205.059385032679,78.52783994043676,496.8212303231519,521.7295839446772,442.2971773286577,465.7390876171182,-1.4735274646854313,True,12,OK,586.7
37,3.457080081390368,1.9474067303861786,2.0880420592511966,2.212755001372407,0.732421875,3186.333947627502,86.67186668988627,518.9515891236518,546.5555356017561,465.5500295727985,491.48255443261786,-2.650712204420924,True,13,OK,634.6
38,2.7010835694593145,2.3829467168499425,1.8377811944955762,2.9407945825251756,,,,,,,,,,,FAIL_EROSION_SOLVE,232.6
39,3.1033784846264885,2.1116080989400023,2.286301985074484,2.3838994212619085,0.732421875,3266.101465348528,46.795770543350486,577.6343705015851,605.121290835788,509.9905975640477,535.4532067893804,-2.8631408860123164,True,13,OK,635.4
40,3.0782544021004554,2.130251312314312,1.6750334101822304,2.8601822069766127,0.830078125,3262.4514372344356,49.61302531958174,589.987506643893,618.6697668624826,512.540560315529,539.4189342935543,1.3295820184712093,True,11,OK,327.8
41,3.0448689590802704,2.1315747313521487,1.5965865172533071,2.938719734785099,0.830078125,3229.0035013085662,68.05626415185473,565.9693522877086,594.2942114602386,488.38628008946165,514.8593122377781,1.6948589635294997,True,12,OK,287.4
42,2.3856612212060035,2.285339834605164,1.839334990648122,3.2714964725914335,0.78125,3242.5597829055837,68.16065934280502,572.606565728598,599.3210187390705,488.0248110992124,512.4692591394602,0.38571429731079077,True,11,OK,477.6
43,3.1214279325869434,1.7780548591222802,1.4687472670456163,3.1524577784902497,0.927734375,3264.146214480782,43.78722944153817,579.5278498658957,608.6779439833426,502.202434372573,529.5820078915866,2.3829087688304162,True,12,OK,304.0
44,2.686582804532821,2.075405734224658,2.959726309195826,2.171401401719642,0.732421875,3197.1888515011087,103.31080698850471,566.2469488036927,593.811389184054,495.7855588506986,521.3517233277804,1.395557492817101,True,13,OK,359.2
45,3.2830046022831056,1.4587403117698339,1.6816777697927094,3.043996938695999,0.927734375,3225.3323529182744,90.7003195325233,562.9955620052009,592.2244692388397,475.6851336927992,502.7357446233883,1.463451837045393,True,13,OK,313.2
46,2.934563758119628,2.453966137660286,2.4909384389488602,2.0400028034575044,0.68359375,3253.3917973074444,50.99924724041549,530.4116824734733,556.3821715638632,474.2384434215842,498.73600199018097,-2.819677550392763,True,12,OK,496.9
47,2.226636891314875,2.7330706263761657,1.1718011035046232,3.34653481668737,0.9765625,3235.7182214882773,55.44886055862344,510.0164849879559,536.6611293207682,435.1456614624969,460.1124107206343,5.361212731486598,True,11,OK,233.8
48,3.188406482248157,2.012746911408529,2.0239543051468654,2.5858311904010343,0.78125,3268.7377614331936,50.25457980237207,596.8252460756189,625.2882402161612,519.1681212983802,545.5831522853554,-0.7739206433108325,True,12,OK,387.6
49,1.5672945441696537,3.126991717090543,1.975990401503077,2.9767385753926874,0.830078125,3238.8557951994844,40.94605226593783,535.2999975259038,562.2123065650609,478.43645087588067,503.94485441206416,3.062779942885141,True,12,OK,229.5
50,3.171365903888921,1.9082743831059372,1.78575376673756,2.848159171643165,0.830078125,3253.380606578473,53.28859635684527,591.4065336385668,620.2867805290219,516.4792568767701,543.565856623573,0.7850419340216908,True,12,OK,361.8
51,3.1703019880929326,1.9994931830820373,1.5600845548756794,2.91844967349804,,,,,,,,,,,FAIL_EROSION_SOLVE,181.9
52,2.7834111308666696,1.8750876509767307,1.7608864376175268,3.261280075604785,0.830078125,3234.4671337566715,77.13363123124387,577.9937233063894,606.022546688072,493.20437171143,519.1946940817952,0.861028538884201,True,12,OK,343.2
53,2.5626661323115973,2.226695484433545,1.8449017644070933,3.1734692362765977,0.78125,3244.0206438968803,64.69186354241435,580.1056707338457,607.2756290369399,498.4707194927795,523.5560479352072,0.7712561157247944,True,12,OK,291.3
54,3.3625998526300913,2.0605846636920973,1.6883903567380902,2.5683167791615658,0.830078125,3265.25431733356,49.785087941286264,583.7168461605012,612.8740485502368,506.9541992550907,534.1863450279355,0.5712150441225528,True,12,OK,250.7
55,3.1302989830754675,1.5861672580901893,1.2902318235240522,3.3197294388978666,0.9765625,3217.8338496262345,63.884363092848155,528.1469952329942,556.5934363191465,458.8473312809614,485.7002366894234,2.2494299823122565,True,11,OK,237.2
56,3.01239375506429,2.481647780319422,2.0471037751317795,2.3614136216949726,0.68359375,3200.865989597825,95.3075753914859,525.3375462230214,551.64855109584,461.032460605595,485.44056995241306,-2.1405828627050427,True,13,OK,366.1
57,3.226640503703654,2.222369521957754,2.1139622075582056,2.276187284198717,0.68359375,3177.6714884835674,107.99509324312992,511.0918469619543,537.6704869948852,454.61984713487914,479.4996349982791,-2.9333173585382566,True,13,OK,532.4
58,3.792319711961203,2.1007837088758117,1.878460399275661,1.635972352806004,0.732421875,3171.46377639213,98.54947077373079,442.53252913868954,469.4939867771917,397.9699247782025,423.69223753859023,-2.3687058353970114,True,12,OK,336.4
59,3.3409158239604464,1.8315217081412214,1.501924147182943,2.86845490568127,0.87890625,3218.3096619617786,68.9633692879788,551.2297891983055,580.1324371897487,480.64524297152775,507.8844878091129,1.5140291150571916,True,12,OK,262.2
60,2.758700971228511,3.435492344492061,1.9040704807482576,1.4005273673236132,0.732421875,3204.8941274652248,82.64960333750763,408.426575492016,433.23629933482096,358.9288158483727,382.4355691774232,-0.7531480336472773,True,11,OK,270.5
61,3.610129170484843,1.722135976388393,2.239790355149589,1.9961348191497725,0.830078125,3261.1423198866755,37.682589344228184,562.4148824688357,591.7404569147034,512.040544462793,539.9616135946907,0.25231501952424074,True,13,OK,323.4
62,3.642244816535877,1.9285321707734329,2.2620227485705504,1.7023717125407067,0.78125,3243.1934312056055,46.60755711253797,507.5737416597812,535.8837728490284,458.7205939900329,485.7643602497969,-0.2995655347967974,True,12,OK,325.0
63,3.403756236335824,1.7198150108994203,1.9917500224752693,2.5474716210116606,0.830078125,3235.058404901919,60.940215200958555,582.8309333706067,612.0818458835855,508.27125558215454,535.3662312010777,0.12148114296154366,True,13,OK,337.2
64,2.9267188658239984,1.5370890926987322,2.5893857965094425,2.714176670442003,,,,,,,,,,,FAIL_EROSION_SOLVE,367.1
65,3.584150703297917,0.9595795510952025,2.1396697709567434,2.5797062027337323,1.07421875,3207.5783846109207,86.61356922045377,468.5699131072294,496.186228698404,399.76471094571934,425.8305675458642,1.9766665430613672,True,12,OK,308.4
66,3.256161453784092,1.3784419503173555,2.2338222643501395,2.739954099577138,0.927734375,3259.741019730304,56.32372868837288,581.4810569920378,610.6402411857251,496.5238780285024,523.7442228158628,2.058406210538244,True,11,OK,276.7
67,3.107882413532426,2.034996783228846,2.3738486622183754,2.358961111334424,0.732421875,3243.0614841970905,61.12399693526541,568.7323913260411,596.2164914945888,500.82275538259756,526.3054587785763,-1.9217482264300978,True,13,OK,530.2
68,0.8482517131271634,1.627147121419157,3.682715795258398,2.840856498978519,0.830078125,3211.13538362899,85.37932246226295,264.53849080157903,284.4006845264495,226.26737277397436,244.8679220148453,-2.6409650457861256,True,11,OK,251.8
69,3.943907221433853,1.8729778025577979,1.723020860977264,1.7230058306589786,0.78125,3204.5883533390547,62.30764521547981,459.32076033757903,487.1089049305779,418.5010197533539,445.1102277669167,-2.7183565353175565,True,12,OK,548.1
70,3.759778384476891,2.2832894708960443,2.010413792613828,1.2684210949774073,0.78125,3262.7486961926584,52.10485249770226,405.89896304664654,431.87091308139077,354.201841675984,378.8007801695645,-2.503458349969234,True,12,OK,317.5
71,3.4993907613977977,1.682302025283808,2.1546582924132376,2.2981670604428674,0.830078125,3239.727281537592,56.47131829221746,574.8244594000491,604.0056943804086,504.89565748952066,531.9661946143709,-0.6498730293023947,True,15,OK,461.1
72,3.0447945429040173,1.7612006602419505,2.4806270324155313,2.5443836094257777,,,,,,,,,,,FAIL_EROSION_SOLVE,344.5
73,3.616248310918994,1.9662775157800465,2.2873564665168202,1.6806252645361068,0.78125,3254.9585089251664,42.576566090684665,508.0701495349846,536.2664996285614,458.32222984710523,485.26457656843877,-0.13169778195567527,True,12,OK,309.8
74,2.8584341990392614,1.5176448949228445,3.1011598386881194,2.21560726609778,0.927734375,3270.024437934517,45.654342449635266,631.2746015771667,661.3398042947683,544.0961667429689,572.2495348280069,5.094867238342127,True,12,OK,265.3
